person_hash,role,age_band,gender,masked_zone
"PER-39B04649D02B","victim","51-65","female","Commercial mixed use / KRM-6"
"PER-D2109A3C77BA","victim","18-25","male","Residential market / JYN-4"
"PER-1E674E90DFBC","victim","36-50","male","Tech corridor / WFD-4"
"PER-6DB760FAA767","victim","36-50","female","Rail and arterial road / KRP-2"
"PER-7E03E48354BF","accused","36-50","female","Transit hub / CEN-2"
"PER-B386F0F6894E","accused","36-50","male","Industrial IT belt / ELC-5"
"PER-46706320970C","victim","26-35","female","Industrial IT belt / ELC-5"
"PER-97AE09F4E0EB","accused","18-25","male","Night economy / IND-3"
"PER-15233F519321","victim","36-50","undisclosed","Tech corridor / WFD-4"
"PER-61DFDFDDABDC","victim","65+","female","Transit hub / CEN-2"
"PER-66173FBD975D","victim","65+","female","Transit hub / CEN-2"
"PER-FBB74A1691A3","victim","65+","female","Rail and arterial road / KRP-2"
"PER-28C61622C10E","accused","51-65","female","Industrial IT belt / ELC-5"
"PER-C0C8D77BE6E6","victim","65+","male","Tech corridor / WFD-4"
"PER-804F6768ACF9","victim","36-50","male","Transit hub / CEN-2"
"PER-554A1895869F","accused","51-65","male","Tech corridor / WFD-4"
"PER-BA68E19B4D3D","accused","51-65","male","Metro corridor / BSK-3"
"PER-69DBD6DB8255","victim","51-65","male","Transit hub / CEN-2"
"PER-4385CBD58D93","victim","18-25","female","Airport approach / HBL-2"
"PER-D8B0A6510C5B","victim","51-65","male","Residential market / JYN-4"
"PER-34FC426F123B","victim","51-65","female","Transit hub / CEN-2"
"PER-F72016E65841","victim","36-50","female","Night economy / IND-3"
"PER-2D7A4420E6A2","victim","51-65","male","Rail and arterial road / KRP-2"
"PER-10650F656665","accused","18-25","female","Tech corridor / WFD-4"
"PER-A3C47A95BF1B","victim","51-65","male","Outer growth corridor / YLK-1"
"PER-CEE3257B38D4","accused","18-25","male","Tech corridor / WFD-4"
"PER-EDAE319C9A6A","accused","65+","female","Night economy / IND-3"
"PER-61884C165E30","victim","18-25","female","Tech corridor / WFD-4"
"PER-3E9DC3A87C23","victim","51-65","male","Rail and arterial road / KRP-2"
"PER-EE5D5BCCB755","victim","51-65","female","Tech corridor / WFD-4"
"PER-FC3F9A6BFB2C","victim","18-25","male","Commercial mixed use / KRM-6"
"PER-7AC6042EAE9A","accused","65+","female","Outer growth corridor / YLK-1"
"PER-B541786895D7","victim","36-50","male","Tech corridor / WFD-4"
"PER-92A555E79B7E","victim","26-35","female","Tech corridor / WFD-4"
"PER-6C93861C12E9","victim","65+","female","Night economy / IND-3"
"PER-F38AD9CF64C4","accused","18-25","female","Industrial IT belt / ELC-5"
"PER-CC8F58EBC833","accused","18-25","male","Transit hub / CEN-2"
"PER-359F9E50D03E","victim","18-25","male","Transit hub / CEN-2"
"PER-A1FE60E4EE6F","victim","36-50","male","Transit hub / CEN-2"
"PER-806DB8AFACF8","victim","36-50","female","Industrial IT belt / ELC-5"
"PER-D7F51586D15C","victim","51-65","female","Commercial mixed use / KRM-6"
"PER-FE87022E4CFD","accused","36-50","undisclosed","Tech corridor / WFD-4"
"PER-A95CD7CD48C8","accused","18-25","male","Rail and arterial road / KRP-2"
"PER-16E0512A9306","victim","65+","female","Commercial mixed use / KRM-6"
"PER-062E4D6FAEA4","accused","18-25","male","Metro corridor / BSK-3"
"PER-B5ABA0CB965F","accused","51-65","male","Transit hub / CEN-2"
"PER-95AE9E54E1D1","accused","26-35","female","Tech corridor / WFD-4"
"PER-AC24B9F492D1","accused","51-65","female","Tech corridor / WFD-4"
"PER-CC5BED7190A7","victim","26-35","undisclosed","Rail and arterial road / KRP-2"
"PER-260368E326AF","accused","51-65","female","Tech corridor / WFD-4"
"PER-8C604C225E5F","victim","65+","male","Night economy / IND-3"
"PER-8847C317F231","accused","65+","female","Tech corridor / WFD-4"
"PER-C7247D95B315","victim","65+","female","Tech corridor / WFD-4"
"PER-08E6978CC663","victim","65+","male","Industrial IT belt / ELC-5"
"PER-29B6CCC8AD66","victim","51-65","male","Outer growth corridor / YLK-1"
"PER-4E8AD5205F70","accused","18-25","undisclosed","Industrial IT belt / ELC-5"
"PER-CD50F7833FCB","accused","18-25","undisclosed","Tech corridor / WFD-4"
"PER-490BB37FACA5","victim","51-65","female","Commercial mixed use / KRM-6"
"PER-23A9646B3996","accused","18-25","female","Industrial IT belt / ELC-5"
"PER-1611CEE1EFF2","victim","18-25","female","Commercial mixed use / KRM-6"
"PER-9872DF18153C","victim","26-35","male","Tech corridor / WFD-4"
"PER-3F47BAD6E330","accused","51-65","male","Tech corridor / WFD-4"
"PER-6F5EAFA207AA","victim","26-35","male","Tech corridor / WFD-4"
"PER-D1145362D686","accused","26-35","female","Industrial IT belt / ELC-5"
"PER-78938A141AE3","victim","26-35","male","Outer growth corridor / YLK-1"
"PER-D925CA03AF78","accused","26-35","male","Night economy / IND-3"
"PER-0A7557C715A2","victim","18-25","female","Metro corridor / BSK-3"
"PER-91534CAFF1AD","victim","18-25","male","Night economy / IND-3"
"PER-E3B05CBF9BB2","victim","51-65","male","Transit hub / CEN-2"
"PER-C975F3FFF3F7","accused","26-35","male","Night economy / IND-3"
"PER-90CF2808948E","victim","36-50","female","Industrial IT belt / ELC-5"
"PER-64BE3FBBA196","accused","36-50","female","Outer growth corridor / YLK-1"
"PER-DDB232A33CCB","victim","51-65","female","Commercial mixed use / KRM-6"
"PER-EC0FFD98DC42","victim","51-65","undisclosed","Night economy / IND-3"
"PER-9EC97FD54E0A","victim","36-50","male","Industrial IT belt / ELC-5"
"PER-B3788F850880","accused","65+","female","Commercial mixed use / KRM-6"
"PER-7DDE769CD210","victim","18-25","female","Airport approach / HBL-2"
"PER-6DAC59AD7D8A","accused","26-35","male","Night economy / IND-3"
"PER-9DCE8877C10F","accused","65+","male","Industrial IT belt / ELC-5"
"PER-7835FF7335B3","victim","36-50","male","Airport approach / HBL-2"
"PER-EEFE8AEC422B","victim","36-50","undisclosed","Commercial mixed use / KRM-6"
"PER-D796EC3B6EA1","accused","65+","female","Industrial IT belt / ELC-5"
"PER-11AEDC035E0A","victim","26-35","male","Residential market / JYN-4"
"PER-A757BEBEE8C4","accused","36-50","male","Airport approach / HBL-2"
"PER-285F340DC23B","accused","18-25","female","Tech corridor / WFD-4"
"PER-7DA7AACA9301","accused","51-65","female","Rail and arterial road / KRP-2"
"PER-76CECD3A759B","accused","18-25","male","Transit hub / CEN-2"
"PER-922BA4D48F44","accused","36-50","female","Rail and arterial road / KRP-2"
"PER-D5EEAF24D0A6","accused","51-65","female","Commercial mixed use / KRM-6"
"PER-E97C4FE3608B","victim","36-50","female","Night economy / IND-3"
"PER-706F0CC94BEF","accused","36-50","male","Outer growth corridor / YLK-1"
"PER-2E69845BE477","victim","36-50","male","Outer growth corridor / YLK-1"
"PER-FE65069C3F45","victim","51-65","female","Metro corridor / BSK-3"
"PER-FC37B1F6F03E","accused","36-50","male","Transit hub / CEN-2"
"PER-69C67663FD5D","accused","65+","male","Transit hub / CEN-2"
"PER-B6A8F8DD2CD3","accused","26-35","male","Residential market / JYN-4"
"PER-377CF2B647B3","victim","36-50","male","Night economy / IND-3"
"PER-A8E6DD0F4CF1","accused","65+","undisclosed","Residential market / JYN-4"
"PER-8CF5593A3D71","victim","18-25","male","Night economy / IND-3"
"PER-4128665DA5A4","accused","51-65","male","Transit hub / CEN-2"
"PER-7767734FABD3","accused","26-35","male","Night economy / IND-3"
"PER-B5CBB8C611EC","accused","26-35","male","Metro corridor / BSK-3"
"PER-75E9CC9F0E1E","victim","26-35","male","Tech corridor / WFD-4"
"PER-51A82848C1D9","victim","26-35","male","Rail and arterial road / KRP-2"
"PER-F80D30FD5050","accused","51-65","male","Commercial mixed use / KRM-6"
"PER-222C0B461FC7","victim","26-35","female","Transit hub / CEN-2"
"PER-915FDE7B08E6","accused","26-35","male","Transit hub / CEN-2"
"PER-1A3431BC2141","accused","65+","female","Transit hub / CEN-2"
"PER-FFA752DF18A5","victim","18-25","male","Transit hub / CEN-2"
"PER-34790BC236E0","victim","51-65","male","Transit hub / CEN-2"
"PER-E8CC3CBBFA22","accused","18-25","female","Residential market / JYN-4"
"PER-BFD81B1242C6","victim","26-35","male","Residential market / JYN-4"
"PER-96095DA193AF","victim","65+","male","Tech corridor / WFD-4"
"PER-3C482C97A84C","victim","36-50","female","Outer growth corridor / YLK-1"
"PER-05682C4C18B9","victim","26-35","male","Transit hub / CEN-2"
"PER-5008CF5AA8CE","victim","36-50","female","Transit hub / CEN-2"
"PER-8450A89C430A","accused","26-35","male","Industrial IT belt / ELC-5"
"PER-94FD9F1A02AE","accused","26-35","male","Night economy / IND-3"
"PER-93F839B117A9","victim","36-50","male","Tech corridor / WFD-4"
"PER-FD50B9A68FDF","victim","36-50","female","Residential market / JYN-4"
"PER-BC80F8A43D25","accused","51-65","male","Transit hub / CEN-2"
"PER-7633F8EB589C","accused","36-50","male","Transit hub / CEN-2"
"PER-472666E31E1F","victim","65+","male","Outer growth corridor / YLK-1"
"PER-962BD7908127","victim","51-65","female","Tech corridor / WFD-4"
"PER-358D08E5B12E","victim","65+","male","Transit hub / CEN-2"
"PER-6152DF3E4D04","victim","65+","male","Tech corridor / WFD-4"
"PER-0C48034D79CB","victim","36-50","undisclosed","Rail and arterial road / KRP-2"
"PER-D61B66218D33","victim","36-50","male","Tech corridor / WFD-4"
"PER-B50669214A32","victim","51-65","female","Outer growth corridor / YLK-1"
"PER-61FCBDC65B06","victim","65+","undisclosed","Outer growth corridor / YLK-1"
"PER-94A9EA00967B","victim","36-50","male","Transit hub / CEN-2"
"PER-4A1ADFC42FC1","accused","36-50","undisclosed","Metro corridor / BSK-3"
"PER-D32C777C9401","accused","18-25","female","Airport approach / HBL-2"
"PER-7ADA93006A4F","victim","18-25","male","Transit hub / CEN-2"
"PER-D78EBD87EA28","accused","65+","female","Rail and arterial road / KRP-2"
"PER-5560060C6473","victim","65+","female","Industrial IT belt / ELC-5"
"PER-4561C165F24E","accused","36-50","male","Commercial mixed use / KRM-6"
"PER-9C5C20252D95","accused","51-65","female","Transit hub / CEN-2"
"PER-0CD72C68DD1E","accused","18-25","female","Transit hub / CEN-2"
"PER-BD972557E2F4","victim","26-35","female","Night economy / IND-3"
"PER-C6369E19D20F","victim","51-65","male","Transit hub / CEN-2"
"PER-BF377E4EC56D","victim","36-50","undisclosed","Airport approach / HBL-2"
"PER-20D24F2D40A5","victim","26-35","male","Airport approach / HBL-2"
"PER-981ABD2A6282","accused","18-25","female","Metro corridor / BSK-3"
"PER-BAF09D2ED789","victim","51-65","male","Commercial mixed use / KRM-6"
"PER-0EF0B3D46153","victim","65+","female","Metro corridor / BSK-3"
"PER-FABD0B20ED60","victim","18-25","male","Transit hub / CEN-2"
"PER-CAFFAE3BCA23","victim","36-50","female","Metro corridor / BSK-3"
"PER-21729B32C0B9","victim","26-35","female","Commercial mixed use / KRM-6"
"PER-F37542CF17E5","accused","65+","female","Commercial mixed use / KRM-6"
"PER-1E6859325703","accused","36-50","undisclosed","Transit hub / CEN-2"
"PER-029DC2291C4D","victim","65+","male","Night economy / IND-3"
"PER-C8A21C0EC50B","accused","36-50","male","Rail and arterial road / KRP-2"
"PER-B4974CAC5302","accused","36-50","female","Commercial mixed use / KRM-6"
"PER-D1F1BE631513","victim","36-50","female","Rail and arterial road / KRP-2"
"PER-134535BE68B5","victim","65+","male","Night economy / IND-3"
"PER-088FE9A10E74","victim","36-50","male","Rail and arterial road / KRP-2"
"PER-20F80355D6BA","victim","18-25","male","Airport approach / HBL-2"
"PER-735610A99054","accused","18-25","male","Metro corridor / BSK-3"
"PER-E9E8A617EFB6","accused","65+","male","Transit hub / CEN-2"
"PER-E305D0969C2F","accused","65+","female","Commercial mixed use / KRM-6"
"PER-106FCCDA850E","victim","65+","female","Transit hub / CEN-2"
"PER-6E7E0BD6BE52","victim","65+","female","Commercial mixed use / KRM-6"
"PER-594043C0DCB0","victim","26-35","female","Metro corridor / BSK-3"
"PER-A595D1EE8CCC","accused","51-65","male","Transit hub / CEN-2"
"PER-48C734165333","victim","65+","undisclosed","Transit hub / CEN-2"
"PER-52904D9F910B","victim","51-65","female","Night economy / IND-3"
"PER-6317F5713B8A","victim","18-25","male","Metro corridor / BSK-3"
"PER-9CEEE5E222E8","victim","36-50","male","Transit hub / CEN-2"
"PER-50A75635712C","victim","65+","male","Outer growth corridor / YLK-1"
"PER-CC12EE46EA67","accused","51-65","male","Tech corridor / WFD-4"
"PER-1CD6661B83FF","victim","18-25","female","Metro corridor / BSK-3"
"PER-EA90E42CBA4A","accused","26-35","male","Airport approach / HBL-2"
"PER-BA5F6B8A7D7A","accused","36-50","female","Outer growth corridor / YLK-1"
"PER-40ABA6BD69DE","accused","36-50","female","Commercial mixed use / KRM-6"
"PER-146267532CE3","victim","51-65","female","Transit hub / CEN-2"
"PER-1F020E673D4B","accused","36-50","female","Transit hub / CEN-2"
"PER-ABC944D52259","victim","18-25","male","Airport approach / HBL-2"
"PER-6FCF28EFC23D","victim","65+","male","Transit hub / CEN-2"
"PER-18A15615AA65","victim","65+","female","Transit hub / CEN-2"
"PER-BC44F66BA77C","victim","18-25","undisclosed","Night economy / IND-3"
"PER-47E28592C224","accused","65+","male","Commercial mixed use / KRM-6"
"PER-913B4860D6C0","victim","36-50","female","Outer growth corridor / YLK-1"
"PER-27A99C6EA5BF","accused","26-35","male","Outer growth corridor / YLK-1"
"PER-6D63F404DA83","accused","51-65","male","Night economy / IND-3"
"PER-3AD2B940CE83","victim","36-50","female","Tech corridor / WFD-4"
"PER-A4CB30925B13","victim","18-25","male","Commercial mixed use / KRM-6"
"PER-C78A9C131E0D","accused","36-50","male","Transit hub / CEN-2"
"PER-3213DA53C7BB","accused","51-65","female","Rail and arterial road / KRP-2"
"PER-726D23664BA5","victim","26-35","undisclosed","Transit hub / CEN-2"
"PER-A19207641C5C","victim","36-50","male","Tech corridor / WFD-4"
"PER-BABE620DFC82","accused","18-25","female","Rail and arterial road / KRP-2"
"PER-667F80B16633","accused","26-35","male","Rail and arterial road / KRP-2"
"PER-76894CF24A65","victim","26-35","male","Residential market / JYN-4"
"PER-3CDA5F983173","accused","65+","female","Transit hub / CEN-2"
"PER-06525A0E3416","victim","65+","female","Night economy / IND-3"
"PER-1F13EBE194A6","victim","51-65","male","Industrial IT belt / ELC-5"
"PER-A3CCFDD671DE","accused","51-65","female","Residential market / JYN-4"
"PER-F31E06FC31F6","accused","18-25","male","Transit hub / CEN-2"
"PER-D0F2CABAAE29","accused","26-35","female","Airport approach / HBL-2"
"PER-299F19423841","victim","51-65","female","Metro corridor / BSK-3"
"PER-DC16242530CB","victim","26-35","male","Night economy / IND-3"
"PER-9B19C8E009FF","accused","26-35","male","Tech corridor / WFD-4"
"PER-08C8296F0BA0","victim","36-50","male","Tech corridor / WFD-4"
"PER-ADE3ADAC187E","victim","65+","female","Residential market / JYN-4"
"PER-D6DF2824DB05","victim","65+","undisclosed","Industrial IT belt / ELC-5"
"PER-E44C7F99912C","victim","18-25","undisclosed","Outer growth corridor / YLK-1"
"PER-807862141054","victim","36-50","female","Night economy / IND-3"
"PER-810CA0CE4C0B","victim","26-35","female","Residential market / JYN-4"
"PER-2A97E80D8DD6","victim","51-65","female","Residential market / JYN-4"
"PER-3D9F4E78E28C","victim","18-25","male","Transit hub / CEN-2"
"PER-FDA46D8272FB","victim","18-25","male","Transit hub / CEN-2"
"PER-C196010D172C","victim","26-35","undisclosed","Metro corridor / BSK-3"
"PER-CAA070B16F28","victim","26-35","female","Metro corridor / BSK-3"
"PER-46BD5D649A25","victim","18-25","male","Transit hub / CEN-2"
"PER-6B355F8763D4","accused","26-35","male","Residential market / JYN-4"
"PER-09654FF4CCF0","accused","18-25","male","Transit hub / CEN-2"
"PER-22348750CEF4","victim","26-35","male","Transit hub / CEN-2"
"PER-0282BE0E4A03","victim","26-35","female","Commercial mixed use / KRM-6"
"PER-3DAF90B799D1","accused","51-65","male","Outer growth corridor / YLK-1"
"PER-B971F86536A5","accused","36-50","male","Tech corridor / WFD-4"
"PER-907A42C5E87C","accused","18-25","male","Airport approach / HBL-2"
"PER-214A9B5DB51D","victim","36-50","male","Metro corridor / BSK-3"
"PER-97B9C6DAA904","accused","51-65","male","Transit hub / CEN-2"
"PER-D1A66BD3944C","accused","51-65","male","Outer growth corridor / YLK-1"
"PER-ACFBB9ED7558","victim","18-25","male","Airport approach / HBL-2"
"PER-3A7423BEAE7C","victim","36-50","female","Night economy / IND-3"
"PER-CC98237C1AC6","accused","51-65","female","Transit hub / CEN-2"
"PER-B8B2F333630E","victim","51-65","male","Night economy / IND-3"
"PER-431CCD4F1FEC","accused","18-25","female","Rail and arterial road / KRP-2"
"PER-355BD43899E0","accused","51-65","male","Metro corridor / BSK-3"
"PER-83CE4ECE40B3","victim","18-25","male","Transit hub / CEN-2"
"PER-B2D7BDA2D818","victim","65+","male","Metro corridor / BSK-3"
"PER-477D41209DEF","victim","65+","male","Metro corridor / BSK-3"
"PER-90B1D173FFD2","accused","51-65","female","Tech corridor / WFD-4"
"PER-F8038F183EDA","victim","36-50","female","Night economy / IND-3"
"PER-E6783E4D6EFA","victim","18-25","undisclosed","Tech corridor / WFD-4"
"PER-B844EE3D5C00","victim","51-65","female","Outer growth corridor / YLK-1"
"PER-97D3FC469BDD","accused","26-35","male","Residential market / JYN-4"
"PER-C4B9F23548DD","victim","36-50","undisclosed","Industrial IT belt / ELC-5"
"PER-DEB6CB99702A","victim","51-65","female","Transit hub / CEN-2"
"PER-E41E5B0E1595","accused","18-25","male","Transit hub / CEN-2"
"PER-D940EBFC22F7","victim","18-25","male","Rail and arterial road / KRP-2"
"PER-5A5ACE605B03","victim","51-65","undisclosed","Airport approach / HBL-2"
"PER-C9D3F592CBA1","victim","26-35","female","Commercial mixed use / KRM-6"
"PER-C2E045269AB8","victim","36-50","male","Transit hub / CEN-2"
"PER-0D9870DA293A","victim","18-25","female","Commercial mixed use / KRM-6"
"PER-638CBC832727","accused","36-50","male","Industrial IT belt / ELC-5"
"PER-B930C3AAD60D","accused","18-25","male","Residential market / JYN-4"
"PER-75BF5BCA2CB0","accused","51-65","female","Transit hub / CEN-2"
"PER-F0A82A1C6ADA","victim","36-50","male","Airport approach / HBL-2"
"PER-02653CE505AC","victim","18-25","female","Rail and arterial road / KRP-2"
"PER-EAEBA5AD2BEC","victim","65+","female","Rail and arterial road / KRP-2"
"PER-62C1B011541B","victim","26-35","female","Tech corridor / WFD-4"
"PER-6E2E96BD1483","victim","18-25","female","Transit hub / CEN-2"
"PER-7D283204315D","victim","51-65","female","Night economy / IND-3"
"PER-4D1A411A275B","accused","36-50","male","Tech corridor / WFD-4"
"PER-0FDB9632C0AC","victim","26-35","male","Transit hub / CEN-2"
"PER-1046DE114DA0","victim","51-65","female","Rail and arterial road / KRP-2"
"PER-D1F0E83B6033","victim","18-25","female","Industrial IT belt / ELC-5"
"PER-0596210A3BAF","victim","18-25","male","Commercial mixed use / KRM-6"
"PER-9A1E87353433","victim","18-25","male","Transit hub / CEN-2"
"PER-8CCB6B2EC72B","victim","51-65","male","Commercial mixed use / KRM-6"
"PER-EE14183652A5","accused","26-35","male","Transit hub / CEN-2"
"PER-744A6423E014","victim","18-25","female","Transit hub / CEN-2"
"PER-FAD005AA0B9C","victim","65+","undisclosed","Airport approach / HBL-2"
"PER-4E819E877E1C","accused","18-25","female","Tech corridor / WFD-4"
"PER-3CA56F0449E7","victim","51-65","female","Industrial IT belt / ELC-5"
"PER-A154791EAA07","victim","65+","female","Metro corridor / BSK-3"
"PER-A7228982F357","victim","18-25","female","Airport approach / HBL-2"
"PER-26FC7B279ADF","accused","51-65","female","Industrial IT belt / ELC-5"
"PER-C380CB57FF97","victim","65+","female","Night economy / IND-3"
"PER-6FCC17B8CE51","accused","65+","female","Transit hub / CEN-2"
"PER-776115C995E7","victim","65+","female","Transit hub / CEN-2"
"PER-51AC4D45903C","accused","36-50","male","Commercial mixed use / KRM-6"
"PER-2902C3353EFB","victim","18-25","male","Rail and arterial road / KRP-2"
"PER-75A7086623B5","accused","18-25","male","Airport approach / HBL-2"
"PER-80F89041EE69","accused","65+","female","Transit hub / CEN-2"
"PER-C66D460DE533","accused","36-50","male","Metro corridor / BSK-3"
"PER-A84DD40A3EAD","victim","18-25","undisclosed","Commercial mixed use / KRM-6"
"PER-77090897E837","victim","65+","male","Residential market / JYN-4"
"PER-6F25729DA759","victim","26-35","female","Transit hub / CEN-2"
"PER-19FA9DFCDC56","accused","51-65","male","Transit hub / CEN-2"
"PER-1AC6DEF248C7","victim","18-25","female","Industrial IT belt / ELC-5"
"PER-F66F7499A056","victim","51-65","female","Commercial mixed use / KRM-6"
"PER-BF8685B78992","accused","51-65","undisclosed","Commercial mixed use / KRM-6"
"PER-1B320DD1BF64","accused","26-35","male","Airport approach / HBL-2"
"PER-F3F71EF1F9E1","victim","18-25","undisclosed","Transit hub / CEN-2"
"PER-06955DC70176","victim","65+","female","Tech corridor / WFD-4"
"PER-79F567AC019D","victim","26-35","female","Industrial IT belt / ELC-5"
"PER-DF40685CFE0A","victim","26-35","male","Metro corridor / BSK-3"
"PER-1EE99282C9DA","accused","65+","male","Tech corridor / WFD-4"
"PER-9F4E75FFEE44","accused","51-65","female","Metro corridor / BSK-3"
"PER-BCA8A1B1C945","victim","51-65","undisclosed","Metro corridor / BSK-3"
"PER-B69F6DCC551C","victim","36-50","female","Residential market / JYN-4"
"PER-7C65F291BF1F","victim","18-25","male","Transit hub / CEN-2"
"PER-8C065CD2D63B","victim","18-25","male","Outer growth corridor / YLK-1"
"PER-3AC95A553259","victim","36-50","female","Commercial mixed use / KRM-6"
"PER-324138CEC3B1","accused","65+","male","Outer growth corridor / YLK-1"
"PER-D4A193189A64","victim","18-25","female","Metro corridor / BSK-3"
"PER-3E323E470D87","victim","18-25","male","Transit hub / CEN-2"
"PER-B5209DEF1F1F","accused","18-25","female","Industrial IT belt / ELC-5"
"PER-917FFB558F72","accused","18-25","female","Night economy / IND-3"
"PER-8EA6B2A8A1DB","victim","36-50","male","Commercial mixed use / KRM-6"
"PER-FE1B319FB3E9","victim","51-65","female","Night economy / IND-3"
"PER-69B0B71CEB89","victim","36-50","female","Commercial mixed use / KRM-6"
"PER-D261E34A0DD8","victim","18-25","male","Commercial mixed use / KRM-6"
"PER-7653A1FD3FD1","accused","65+","male","Tech corridor / WFD-4"
"PER-5414BE893E97","victim","65+","male","Outer growth corridor / YLK-1"
"PER-8C62375EC519","victim","51-65","female","Rail and arterial road / KRP-2"
"PER-D9BF5C78D19B","victim","65+","undisclosed","Outer growth corridor / YLK-1"
"PER-DB93E4A89221","victim","36-50","male","Airport approach / HBL-2"
"PER-CC2CD0A6E410","victim","26-35","male","Rail and arterial road / KRP-2"
"PER-EC7750005276","accused","18-25","undisclosed","Industrial IT belt / ELC-5"
"PER-33EB33EBF06B","accused","65+","male","Airport approach / HBL-2"
